2017-07-15 17:27:38 , 5.0 , 2012 , Silent Hill: Revelation [dt./OV]
2017-07-15 17:27:44 , 6.5 , 2010 , The Expendables
2017-07-15 17:27:47 , 4.1 , 2016 , Jem and the Holograms [dt./OV]
2017-07-15 17:27:49 , 7.3 , 2016 , 13 Hours [dt./OV]
2017-07-15 17:27:52 , 5.7 , 2016 , Die Bestimmung - Allegiant [dt./OV]
2017-07-15 17:27:54 , 7.1 , 2007 , Operation: Kingdom
2017-07-15 17:27:59 , 7.7 , 2007 , Gone Baby Gone - Kein Kinderspiel [dt./OV]
2017-07-15 17:28:02 , 5.9 , 2015 , Einmal Mond und zurück [dt./OV]
2017-07-15 17:28:05 , 6.3 , 2015 , Die Bestimmung - Insurgent [dt./OV]
2017-07-15 17:28:09 , 6.1 , 2014 , The Expendables 3 - A Man's Job - Extended Director's Cut
2017-07-15 17:28:12 , 5.9 , 2015 , The Captive [dt./OV]
2017-07-15 17:28:15 , 7.8 , 2008 , Der Junge im gestreiften Pyjama [dt./OV]
2017-07-15 17:28:23 , 5.7 , 2012 , Once Upon a Time in Phuket - Sonne, Strand und Schreibblockade
2017-07-15 17:28:26 , 6.7 , 2010 , Die etwas anderen Cops [dt./OV]
2017-07-15 17:28:30 , 5.5 , 2003 , Scary Movie 3 [dt./OV]
2017-07-15 17:28:34 , 7.6 , 2015 , Sicario [dt./OV]
2017-07-15 17:28:38 , 5.9 , 2014 , Wer [dt./OV]
2017-07-15 17:28:40 , 6.4 , 2014 , Saphirblau
2017-07-15 17:28:42 , 6.2 , 2013 , Rubinrot
2017-07-15 17:28:46 , 5.3 , 2016 , Robinson Crusoe
2017-07-15 17:28:51 , 6.6 , 2012 , The Expendables 2 - Uncut
2017-07-15 17:28:54 , 6.6 , 2015 , Frontera
2017-07-15 17:28:56 , 6.8 , 2012 , Machine Gun Preacher
2017-07-15 17:29:03 , 8.1 , 2013 , Prisoners [dt./OV]
2017-07-15 17:29:06 , 6.5 , 2013 , Europa Report
2017-07-15 17:29:08 , 5.5 , 2014 , Diana
2017-07-15 17:29:10 , 8.4 , 2012 , Django Unchained [dt./OV]
2017-07-15 17:29:16 , 6.2 , 2013 , Broken City [dt./OV]
2017-07-15 17:29:20 , 7.0 , 1999 , Die Mumie
2017-07-15 17:29:24 , 8.3 , 1997 , Good Will Hunting [dt./OV]
2017-07-15 17:29:28 , 6.1 , 2015 , Daddy's Home: Ein Vater zu viel [dt./OV]
2017-07-15 17:29:30 , 6.3 , 2016 , Mein ziemlich kleiner Freund [dt./OV]
2017-07-15 17:29:32 , 7.3 , 2011 , Der Mandant [dt./OV]
2017-07-15 17:29:36 , 7.1 , 2002 , Spirit - Der wilde Mustang [dt./OV]
2017-07-15 17:29:39 , 6.8 , 2015 , Zweite Chance [dt./OV]
2017-07-15 17:29:44 , 8.1 , 2015 , Spotlight [dt./OV]
2017-07-15 17:29:48 , 6.6 , 2006 , Silent Hill [dt./OV]
2017-07-15 17:29:51 , 8.5 , 2000 , Gladiator [dt./OV]
2017-07-15 17:29:54 , 6.4 , 1997 , Bean
2017-07-15 17:29:57 , 8.9 , 1994 , Pulp Fiction [dt./OV]
2017-07-15 17:29:59 , 5.5 , 2017 , The Night Watchmen
2017-07-15 17:30:05 , 6.8 , 2016 , The Ardennes : Ohne jeden Ausweg [dt./OV]
2017-07-15 17:30:08 , 7.0 , 1999 , Pünktchen und Anton
2017-07-15 17:30:10 , 6.5 , 2015 , Sleeping with Other People [dt./OV]
2017-07-15 17:30:15 , 7.9 , 2004 , Wie ein einziger Tag [dt./OV]
2017-07-15 17:30:17 , 5.3 , 2012 , Sams im Glück
2017-07-15 17:30:20 , 6.1 , 2007 , Bee Movie - Das Honigkomplott [dt./OV]
2017-07-15 17:30:23 , 6.2 , 2015 , Monster Hunt
2017-07-15 17:30:28 , 8.5 , 1991 , Terminator 2 - Tag der Abrechnung [dt./OV]
2017-07-15 17:30:30 , 5.6 , 2013 , Runner Runner
2017-07-15 17:30:33 , 7.0 , 2004 , Der SpongeBob Schwammkopf Film [dt./OV]
2017-07-15 17:30:38 , 8.7 , 1990 , GoodFellas - Drei Jahrzehnte in der Mafia [dt./OV]
2017-07-15 17:30:41 , 7.4 , 2014 , Mauern der Gewalt [dt./OV]
2017-07-15 17:30:44 , 8.2 , 2012 , Warrior [dt./OV]
2017-07-15 17:30:47 , 8.0 , 1974 , Der Weiße Hai
2017-07-15 17:30:50 , 7.7 , 2004 , Mann unter Feuer [dt./OV]
2017-07-15 17:30:52 , 6.4 , 2009 , Frontalknutschen [dt./OV]
2017-07-15 17:30:56 , 6.4 , 2012 , Der kleine Rabe Socke
2017-07-15 17:30:58 , 6.4 , 2016 , Nur Fliegen ist schöner [dt./OV]
2017-07-15 17:31:04 , 7.4 , 2015 , Remember: Vergiss nicht, dich zu erinnern [dt./OV]
2017-07-15 17:31:06 , 5.7 , 2014 , Sabotage
2017-07-15 17:31:09 , 6.2 , 2010 , Firebreather - Feuer im Blut
2017-07-15 17:31:11 , 7.6 , 2014 , 5 Zimmer Küche Sarg [dt./OV]
2017-07-15 17:31:14 , 6.6 , 2016 , Whiskey Tango Foxtrot [dt./OV]
2017-07-15 17:31:17 , 8.8 , 1994 , Forrest Gump [dt./OV]
2017-07-15 17:31:20 , 7.7 , 2010 , Kick-Ass [dt./OV]
2017-07-15 17:31:22 , 6.0 , 2014 , Nix wie weg - Vom Planeten Erde
2017-07-15 17:31:26 , 7.0 , 2002 , Die geheimnisvolle Minusch
2017-07-15 17:31:29 , 6.0 , 2014 , The Riot Club [dt./OV]
2017-07-15 17:31:32 , 6.0 , 2014 , Pioneer
2017-07-15 17:31:35 , 7.4 , 2015 , Verstehen Sie die Béliers? [dt./OV]
2017-07-15 17:31:39 , 6.3 , 2011 , Kein Mittel gegen Liebe [dt./OV]
2017-07-15 17:31:43 , 6.1 , 2013 , Schatzritter - und das Geheimniss von Melusina
2017-07-15 17:31:45 , 6.9 , 2000 , Die purpurnen Flüsse
2017-07-15 17:31:47 , 6.8 , 2007 , Zimmer 1408
2017-07-15 17:31:50 , 6.3 , 2001 , Die Mumie Kehrt Zurück [dt./OV]
2017-07-15 17:32:00 , 8.1 , 1993 , Jurassic Park [dt./OV]
2017-07-15 17:32:02 , 8.6 , 2011 , Ziemlich Beste Freunde [dt./OV]
2017-07-15 17:32:05 , 6.8 , 2006 , Ab durch die Hecke [dt./OV]
2017-07-15 17:32:08 , 6.4 , 2011 , Colombiana [dt./OV]
2017-07-15 17:32:13 , 6.3 , 2010 , Das Leuchten der Stille [dt./OV]
2017-07-15 17:32:17 , 5.2 , 2013 , V8
2017-07-15 17:32:21 , 6.1 , 2010 , Sammys Abenteuer - Die Suche nach der geheimen Passage
2017-07-15 17:32:24 , 6.3 , 2013 , Prakti.com [dt./OV]
2017-07-15 17:32:27 , 7.4 , 2010 , 72 Stunden - The Next Three Days
2017-07-15 17:32:31 , 6.2 , 2015 , Die Schneekönigin 2 [dt./OV]
2017-07-15 17:32:34 , 6.4 , 2006 , She's the Man - Voll mein Typ [dt./OV]
2017-07-15 17:32:37 , 3.8 , 2016 , Maximum Ride: Experiment Engel [dt./OV]
2017-07-15 17:32:41 , 7.0 , 2016 , Legend [dt./OV]
2017-07-15 17:32:45 , 7.0 , 2012 , Get the Gringo [dt./OV]
2017-07-15 17:32:51 , 7.2 , 2016 , Nur wir drei gemeinsam
2017-07-15 17:32:54 , 5.9 , 2013 , Iron Sky - Director's Cut [dt./OV]
2017-07-15 17:32:57 , 6.4 , 2015 , Quatsch und die Nasenbärbande
2017-07-15 17:33:02 , 6.9 , 2009 , Triangle - Die Angst kommt in Wellen
2017-07-15 17:33:05 , 7.2 , 2016 , Nebel im August
2017-07-15 17:33:11 , 8.1 , 2002 , Catch Me If You Can [dt./OV]
2017-07-15 17:33:13 , 7.7 , 2015 , Ein Mann namens Ove [dt./OV]
2017-07-15 17:33:16 , 6.1 , 2016 , SCHROTTEN!
2017-07-15 17:33:20 , 7.0 , 2011 , Zwei an einem Tag [dt./OV]
2017-07-15 17:33:23 , 5.4 , 2010 , Spy Daddy
2017-07-15 17:33:25 , 5.5 , 2011 , Winx Club - Das magische Abenteuer [dt./OV]
2017-07-15 17:33:28 , 7.7 , 2012 , End of Watch [dt./OV]
2017-07-15 17:33:33 , 6.5 , 1997 , Jurassic Park 2 - Vergessene Welt
2017-07-15 17:33:35 , 6.1 , 2016 , Be Somebody [dt./OV]
2017-07-15 17:33:40 , 5.2 , 2013 , Empire State [dt./OV]
2017-07-15 17:33:45 , 7.3 , 2004 , Das Phantom der Oper
2017-07-15 17:33:49 , 8.6 , 1998 , Der Soldat James Ryan [dt./OV]
2017-07-15 17:33:51 , 5.6 , 2016 , Operation Mars [dt./OV]
2017-07-15 17:33:55 , 5.2 , 2008 , Die Mumie - Das Grabmal Des Drachenkaisers
2017-07-15 17:33:58 , 5.8 , 2012 , Zambezia -  In jedem steckt ein kleiner Held [dt./OV]
2017-07-15 17:34:01 , 5.3 , 2015 , Secret Agency [dt./OV]
2017-07-15 17:34:04 , 5.9 , 2011 , Fremd Fischen [dt./OV]
2017-07-15 17:34:06 , 6.8 , 2016 , Der Wert des Menschen
2017-07-15 17:34:11 , 6.3 , 2007 , TMNT - Teenage Mutant Ninja Turtles
2017-07-15 17:34:14 , 7.3 , 1989 , Sie Leben!
